timestamp,event,username,ip
2026-07-10 14:33:12,CONNECTED,Aman,10.0.0.3
2026-07-10 14:33:56,CONNECTED,NandKishore,10.0.0.4
2026-07-10 14:34:20,CONNECTED,Vivek,10.0.0.5
2026-07-10 14:34:38,CONNECTED,Jigyesh,10.0.0.2
2026-07-10 15:00:23,DISCONNECTED,NandKishore,10.0.0.4
2026-07-10 15:05:00,DISCONNECTED,Jigyesh,10.0.0.2
2026-07-10 15:05:07,DISCONNECTED,Aman,10.0.0.3
2026-07-10 15:05:14,DISCONNECTED,Vivek,10.0.0.5
2026-07-10 15:22:34,CONNECTED,Vivek,10.0.0.4
2026-07-10 15:23:34,DISCONNECTED,Vivek,10.0.0.4
